id,section,route,screen,target_controls,surface,mobile_nav
1,AUTH_ONBOARDING,/boot,Boot Universe,4,route,Feed|Chat|Apps|Match|Perfil
2,AUTH_ONBOARDING,/auth/welcome,Boas-vindas / proposta de identidade soberana,5,route,Feed|Chat|Apps|Match|Perfil
3,AUTH_ONBOARDING,/auth/login,Login universal,7,route,Feed|Chat|Apps|Match|Perfil
4,AUTH_ONBOARDING,/auth/register,Criar conta,8,route,Feed|Chat|Apps|Match|Perfil
5,AUTH_ONBOARDING,/auth/device-check,Integridade e confiança do dispositivo,7,route,Feed|Chat|Apps|Match|Perfil
6,AUTH_ONBOARDING,/auth/enroll/face,Captura facial / pontos do rosto,8,route,Feed|Chat|Apps|Match|Perfil
7,AUTH_ONBOARDING,/auth/enroll/liveness,Prova de vida,8,route,Feed|Chat|Apps|Match|Perfil
8,AUTH_ONBOARDING,/auth/enroll/document,Documento oficial / OCR,9,route,Feed|Chat|Apps|Match|Perfil
9,AUTH_ONBOARDING,/auth/enroll/confirm,Correspondência e confirmação de identidade,10,route,Feed|Chat|Apps|Match|Perfil
10,AUTH_ONBOARDING,/auth/enroll/consent,Consentimentos de biometria e finalidade,10,route,Feed|Chat|Apps|Match|Perfil
11,AUTH_ONBOARDING,/auth/enroll/passkey,Criar/vincular passkey,8,route,Feed|Chat|Apps|Match|Perfil
12,AUTH_ONBOARDING,/auth/enroll/2fa,Configurar segundo fator,8,route,Feed|Chat|Apps|Match|Perfil
13,AUTH_ONBOARDING,/auth/enroll/security-key,Chave física / autenticador externo,7,route,Feed|Chat|Apps|Match|Perfil
14,AUTH_ONBOARDING,/auth/enroll/recovery,Códigos e contatos de recuperação,6,route,Feed|Chat|Apps|Match|Perfil
15,AUTH_ONBOARDING,/auth/enroll/vault,Criar vault seguro,8,route,Feed|Chat|Apps|Match|Perfil
16,AUTH_ONBOARDING,/auth/enroll/identity,Gerar identidade soberana,7,route,Feed|Chat|Apps|Match|Perfil
17,AUTH_ONBOARDING,/auth/enroll/avatar,Preparar referência para avatar PEZON,6,route,Feed|Chat|Apps|Match|Perfil
