category,project,repository,license,integration_mode,role,policy,verification
Shell,Tauri,https://github.com/tauri-apps/tauri,MIT OR Apache-2.0,library/runtime,Desktop/mobile shell; native plugins,CORE,canonical registry; verify pinned
Web,React,https://github.com/facebook/react,MIT,library,UI projections,CORE,web verified
Web,Vite,https://github.com/vitejs/vite,MIT,build,Web build/dev server,CORE,verify pinned
Web,TypeScript,https://github.com/microsoft/TypeScript,Apache-2.0,build/library,Typed UI/contracts,CORE,verify pinned
Rust,Axum,https://github.com/tokio-rs/axum,MIT,library,HTTP gateway/services,CORE,canonical registry
Rust,Tokio,https://github.com/tokio-rs/tokio,MIT,library,Async runtime,CORE,verify pinned
Rust,SQLx,https://github.com/launchbadge/sqlx,MIT OR Apache-2.0,library,Postgres/SQLite access,CORE,canonical registry
Rust,tonic,https://github.com/hyperium/tonic,MIT,library,gRPC internal,CORE,verify pinned
Rust,serde,https://github.com/serde-rs/serde,MIT OR Apache-2.0,library,Serialization,CORE,verify pinned
Identity,Rauthy,https://github.com/sebadob/rauthy,Apache-2.0,runtime,V3 permissive IdP profile; OIDC/OAuth/passkeys,CORE,web verified 2026-08-07
Identity,Kanidm,https://github.com/kanidm/kanidm,MPL-2.0,runtime/service,Canonical-doc enterprise directory IdP profile,OPTIONAL_ISOLATED,canonical + web verified
Authorization,OpenFGA,https://github.com/openfga/openfga,Apache-2.0,runtime,Canonical ReBAC authorization,CORE,web verified 2026-08-07
Authorization,Cedar,https://github.com/cedar-policy/cedar,Apache-2.0,library,Local/edge policy cache and ABAC-like policy,CORE_OPTIONAL,canonical registry
Crypto,Argon2 reference,https://github.com/P-H-C/phc-winner-argon2,CC0 OR Apache-2.0,reference/library,Password KDF reference,CORE,web/canonical verify pinned
Crypto,BLAKE3,https://github.com/BLAKE3-team/BLAKE3,CC0 OR Apache-2.0,library,Fast content hashing/Merkle,CORE,web verified
Crypto,Orion,https://github.com/orion-rs/orion,MIT,library,High-level Rust crypto,CORE,web verified
Crypto,keyring-rs,https://github.com/open-source-cooperative/keyring-rs,MIT OR Apache-2.0,library,OS keystore/keychain bridge,CORE,web verified
Crypto,rustls,https://github.com/rustls/rustls,permissive; verify pinned,library,TLS,CORE,verify pinned before distribution
Data,PostgreSQL,https://github.com/postgres/postgres,PostgreSQL License,runtime,Canonical connected relational authority,CORE,canonical registry
Data,SQLite,https://github.com/sqlite/sqlite,Public Domain,library/runtime,Edge projections/outbox/cache,CORE,public domain; verify mirror/pin
Data,PostgREST,https://github.com/PostgREST/postgrest,MIT,runtime,REST compatibility behind Gateway/RLS,CORE_OPTIONAL,canonical registry
